id,Question,A,B,C,D
196,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1994?,Na Uy ,Nh?t B?n ,Hoa K? , Ph?n Lan
197,Ði?m d?c trung nh?t c?a các sinh v?t trong gi?i nguyên sinh là gì?,Nhân th?c ,Nhân so,S?ng kí sinh ,S?ng ho?i sinh
198,Tuy?n du?ng s?t d?u tiên du?c xây d?ng ? nu?c nào?,Anh ,Tây Ban Nha ,Pháp ,Nga 
199,Vi?t Nam chính th?c gia nh?p t? ch?c ASEAN vào th?i gian nào?,Tháng 7  1995 ,Tháng 7  1992 ,Tháng 9  1994 ,Tháng 9  1997 
200,Pin nang lu?ng m?t tr?i do ngu?i nu?c nào phát minh ra?,Pháp ,Nh?t ,Anh ,M? 
201,B?n cho bi?t b?c tu?ng Ph?t b?ng dá cao nh?t th? gi?i ? dâu?,Trung Qu?c ,Thái Lan ,?n Ð? ,Indonesia
202,"Trong tri?u d?i nhà Tr?n, viên tu?ng nào sau dây thành công trong ngh? kinh doanh?",Tr?n Khánh Du ,Lý An Khánh ,Tr?n Nguyên Hán ,Tr?n Ð?i la 
203,Huy?n B?ch Long Vi tr?c thu?c t?nh nào c?a nu?c ta?,H?i Phòng ,Qu?ng Ninh ,H?i Duong ,Thái Bình 
204,Xuân chi?n khu là sáng tác c?a nh?c si nào?,Xuân H?ng ,Hoàng Vi?t ,Tri?u Dâng ,Tr?n Long ?n 
205,Th? vàng l?n d?u tiên du?c s? d?ng vào World Cup nam nào?,1970,1954,1956,1982
206,Th? v?n h?i mùa dông nam 1992 du?c t? ch?c ? qu?c gia nào?,Pháp ,Th?y Ði?n,Na Uy ,Nh?t B?n 
207,Ði?m d?c trung nh?t c?a các sinh v?t trong gi?i kh?i sinh là gì?,Nhân so ,Nhân th?c ,S?ng kí sinh ,S?ng ho?i sinh 
208,Nguyên th? qu?c gia nào d?u tiên nào d?u tiên d?n tham Vi?t Nam sau CMT8 thành công?,?n Ð? ,Liên Xô ,Cuba ,Trung Qu?c 
209,Nu?c c?ng hoà nhân dân Trung Hoa ra d?i vào nam nào?,1949,1947,1951,1953
210,Ðia c?ng máy tính du?c phát minh vào nam nào?,1955,1975,1935,1965
211,B?n cho bi?t vua Lê nào du?c l?ch s? tôn làm anh hùng?,Lê Thái T? ,Lê Hi?n Tông ,Lê Chiêu Tông ,Lê Thánh Tông 
212,"? các loài d?ng v?t có vú, các d?t xuong c? d?u hi?m khi vu?t qua con s? m?y?",7,10,32,15
213,Huy?n Cát H?i tr?c thu?c t?nh nào c?a nu?c ta?,H?i Phòng,Qu?ng Ninh ,Thái Bình ,H?i Duong 
214,Cô gái m? du?ng là sáng tác c?a nh?c si nào?,Xuân Giao ,Ph?m Minh Tu?n ,Huy Th?c ,An Thuyên 
215,Cúp C1 du?c UEFA d?i tên thành Champions League vào nam nào?,1992,1990,1994,1996
216,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1988?,Canada,Nam Tu,Pháp,Nh?t B?n 
217,"Trong h? s?ng, m?i quan h? v? dinh du?ng bi?u hi?n rõ nh?t ? c?p d? t? ch?c nào?",Qu?n xã ,T? bào,Qu?n th? ,Loài 
218,Cách m?ng tu s?n d?u tiên trên th? gi?i n? ra t?i nu?c nào?,Hà Lan ,Anh ,Ð?c ,Pháp 
219,Ngu?i th?ng nh?t ba t? ch?c C?ng s?n Vi?t Nam nam 1930 là ai?,Nguy?n Ái Qu?c ,Nguy?n Van C? ,Tr?n Phú ,Nguy?n Thái H?c 
220,Xe máy mô tô là phuong ti?n di l?i do nu?c nào phát minh ra?,Ð?c ,Anh ,Pháp,Nh?t 
221,B?n cho bi?t vua Lê nào có tên tu?i r?c r? nhât trong th?i k? tru?c?,Lê Thánh Tông ,Lê Hi?n Tông,Lê Thái T? ,Lê Nhân Tông 
222,T? ch?c Vi?t Nam Thanh Niên cách m?ng Ð?ng Chí H?i du?c thành l?p t?i dâu?,Qu?ng Châu ,Thiên Tân ,Tri?u Châu ,Qu?ng Ðông 
223,Huy?n Tiên Lãng tr?c thu?c t?nh nào c?a nu?c ta?,H?i Phòng ,Thái Bình ,Qu?ng Ninh ,H?i Duong
224,Máu con ngu?i chi?m kho?ng bao nhiêu ph?n tram nu?c?,78,30,48,85
225,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1984?,Nam Tu ,Canada,Nh?t B?n ,Na Uy 
226,Ðon v? phân lo?i co b?n c?a sinh gi?i là gì?,Qu?n xã ,T? bào ,Qu?n th? ,Loài 
227,"Tru?c Washington, thành ph? nào dã t?ng là th? dô c?a M??",Philadelphia,Los Angeles,Boston,New York
228,Trung tâm ch? t?o pháo hoa c?a châu Âu vào kho?ng th? k? XV là ? dâu?,Florencia Italia,Berlin Ð?c,Paris Pháp,London Anh
229,Máy tính xách tay laptop du?c phát minh vào nam nào?,1981,1975,1990,1995
230,B?n cho bi?t b?c ho? B?a an t?i cu?i cùng là c?a danh ho? nào?,Leonardo da Vinci,Pablo Picasso,Vincent VanGogh,Walt Disney
231,"? châu Âu, nu?c nào là nu?c xây d?ng vu?n c?m qu?c gia d?u tiên nam 1969?",Thu? Ði?n,Ba Lan,Ðan M?ch ,Úc 
232,Huy?n Chí Linh tr?c thu?c t?nh nào c?a nu?c ta?,H?i Duong ,H?i Phòng ,Thái Bình ,Hung Yên 
233,"Khi ? m?t mình trên d?o hoang, d?ng v?t nào du?c Robinson s? d?ng nhi?u nh?t?",Dê,L?n r?ng,Bò s?a,C?u
234,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1980?,Hoa K? ,Na Uy ,Pháp,Nga 
235,Trung tâm tài chính l?n nh?t nu?c Ð?c n?m ? thành ph? nào?,Frankfurt,Hamburrg,Bremen,Munich
236,Núi Ngu Hành Son ? Ðà N?ng du?c d?t tên vào th?i vua nào?,Nhà Nguy?n ,Nhà Lý ,Nhà Thanh,Nhà Ðinh 
237,Qu?c gia nào có th? tru?ng ch?ng khoán l?n th? 2 th? gi?i?,Nh?t B?n ,M? ,Trung Qu?c ,Ð?c 
238,B?c tu?ng bà d?m xoè là tên ngu?i dân Hà N?i thu?ng g?i m?t b?n sao c?a tu?ng nào?,N? th?n t? do ,Tu?ng V? n? thành Milo ,Th?n Hera,Th?n Gaia
239,Qu?c hi?u nhà nu?c ta Vi?t Nam có t? th?i Nguy?n Ánh nam nào?,1804,1802,1803,1805
240,Huy?n Di?n Châu tr?c thu?c t?nh nào c?a nu?c ta?,Ngh? An ,Thanh Hoá ,Qu?ng Tr? ,Hà Tinh 
241,Ði?u khi?n t? xa du?c phát minh vào nam nào?,1788,1918,1898,1828
242,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1976?,Áo ,Canada,Nam Tu ,Hoa K? 
243,Cây c?u dài th? 2 châu Âu n?m ? qu?c gia nào?,B? Ðào Nha,Anh,Ð?c ,Pháp 
244,Núi Ngu Hành Son ? Ðà N?ng du?c vua Minh M?ng  nhà Nguy?n d?t tên vào th? k? nào?,Th? k? XIV,Th? k? XII,Th? k? XIII,Th? k? XV
245,Lò vi sóng còn g?i là lò vi ba có m?t trên th? tru?ng vào nam nào?,1967,1984,1956,1800
246,Tri?u d?i nhà Nguy?n b?t d?u t? nam nào?,1802,1790,1845,1860
247,Huy?n Ðô Luong tr?c thu?c t?nh nào c?a nu?c ta?,Ngh? An ,Thanh Hoá ,Hà Tinh ,Qu?ng Bình 
248,Máy bay tr?c thang du?c phát minh vào nam nào?,1936,1880,1914,1945
249,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1972?,Nh?t B?n ,Áo ,Pháp,Na Uy 
250,Ðon v? ti?n hoá co b?n c?a sinh gi?i là gì?,Loài,T? bào ,Qu?n th? ,Qu?n xã
251,L?n g?n dây nh?t sao ch?i Halley xu?t hi?n vào nam nào?,1986,1984,1985,1987
252,Núi có ngôi m? c? c?a Vua t? Hùng Vuong là núi nào?,Núi Nghia Linh ,Núi H?ng Linh ,Núi Ngu Hành Son ,Phansiphang
253,Ðàn Piano du?c phát minh vào nam nào?,1709,1680,1799,1820
254,Thang máy d?u tiên du?c ch? t?o vào nam nào?,1843,1543,1743,1943
255,Cây lô h?i nha dam thu?c h? nào?,Agaveceae,Fabaceae,Poaeage,Sonneratiaceae
256,Qu?n Ngu Hành Son tr?c thu?c thành ph? nào c?a nu?c ta?,Tp. Ðà N?ng ,Tp. Vinh ,Tp. Hà N?i ,Tp. H? Chí Minh 
257,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1968?,Pháp ,Áo ,Na Uy ,Nh?t B?n 
258,Ðon v? co b?n c?a qu?n th? s?ng là gì?,T? bào ,Qu?n th? ,Co th? ,Loài 
259,"Tính d?n nam 2012, Thành ph? nào c?a Afghanistan có n?n kinh t? phát tri?n nh?t?",Kandahar,Ghaza,Heart,Kabul
260,Nguy?n B?nh Khiêm dã thi d?u tr?ng nguyên vào tri?u nhà nào?,Nhà M?c ,Nhà Nguy?n ,Nhà Lê ,Nhà Ðinh 
261,"T?p doàn l?n c?a Hàn Qu?c  LG, du?c thành l?p vào nam nào?",1947,1946,1948,1949
262,Cân du?c phát minh d?u tiên b?i các cu dân nào?,Ai C?p ,Vi?t C? ,Trung Qu?c ,La Mã 
263,Huy?n Mu?ng Lay thu?c t?nh nào c?a nu?c ta?,Lai Châu ,Son La ,L?ng Son ,Lào Cai 
264,"Tên th?t c?a Thành Cát Tu Hãn, vua Mông C? th? k? th? 13 là gì?",Thi?t M?c Chân ,Sát H?p Ðài ,Tru?t Xích ,Oa Khoát Ðài 
265,Núi l?a ho?t d?ng l?n nh?t th? gi?i n?m ? dâu?,Hawai,Indonesia,Nh?t B?n,Chile
266,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1964?,Áo ,Pháp ,Nh?t B?n,Canada
267,Th? v?n h?i Mùa Ðông l?n d?u tiên du?c t? ch?c  ? dâu?,Pháp,Anh,Nga,M?
268,Ngôn ng? chính c?a Pakistan là gì?,Urdur,Kurd,Dari,Pushtu
269,Hoài Van H?u là tên hi?u c?a ai?,Tr?n Qu?c To?n ,Tr?n Qu?c Tu?n ,Nguy?n Hu? ,Nguy?n B?nh Khiêm 
270,"LG là t?p doàn l?n c?a Hàn Qu?c, b?n có bi?t ý nghia c?a t? này?",Lucky Goldstar,Lifes Good,Leader Group,Little Girl 
271,Ai là nhà toán h?c n?i ti?ng ngu?i Pháp dã b? m?ng trong m?t cu?c d?u súng?,Évariste Galois,Laurent Schwartz,Oliver Heavisde,Henri Paul Cartan
272,Huy?n Na Hang thu?c t?nh nào c?a nu?c ta?,Tuyên Quang ,Yên Bái ,B?c K?n ,Thái Nguyên 
273,Ð?i quân nào du?c xem là m?nh nh?t trong quân d?i c?a Mông C? th?i phong ki?n?,K? binh ,B? binh ,Thu? binh ,Tu?ng binh 
274,Thành ph? dông dân nh?t Ðông Nam Á?,Tp. Bang C?c,Tp. H? Chí Minh ,Tp. Jakarta,Tp. Phnom Penh
275,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1960?,Hoa K? ,Áo ,Pháp ,Nh?t B?n 
276,Ký hi?u nào sau dây không ph?i là ký hi?u c?a m?ng di d?ng?,ERP,CDMA,GSM,DAMPS
277,Lo?i hình âm nh?c dân gian c? truy?n Vi d?m là c?a vùng nào?,Nghê Tinh ,Hà N?i ,Hu? ,B?c Ninh 
278,"? Indonesia, khi chú r? v?ng m?t thì s? dùng v?t gì d? làm tin?",Con dao ,Ti?n cu?i ,L? v?t ,B? qu?n áo 
279,H?a si l?ng danh Picasso du?c sinh ra ? dâu c?a Tây Ban Nha?,Málaga,Real Madrid,Barcelona ,Valladolid
280,"Tác gi? bài hát m?t d?i ngu?i, m?t r?ng cây là ai?",Tr?n Long ?n,Phan Hu?nh Ði?u ,Tr?n Minh Phi ,Tr?nh Công Son 
281,Huy?n Chiêm Hoá thu?c t?nh nào c?a nu?c ta?,Tuyên Quang ,B?c K?n,Thái Nguyên ,Yên Bái 
282,Ca ghép gan d?u tiên t?i Vi?t Nam du?c th?c hi?n ? dâu?,H?c Vi?n Quân Y,B?nh vi?n Ch? R?y ,B?nh vi?n Nhi trung uong,B?nh vi?n B?ch Mai 
283,Ðâu là m?t gi?ng thu?c loài R?t?,Scolopendra,Scolodra,Colopen,"Scolopen
"
284,Th? v?n h?i mùa dông nam 1964 du?c t? ch?c ? qu?c gia nào?,Áo ,Pháp,Nga ,Hoa K? 
285,Ðây không ph?i là ngôn ng? l?p trình?,D,C,Java,Visual Basic
286,Ph? n? ngu?i Myanmar khi mang b?u s? kiêng an qu? gì?,Chu?i ,Cà chua ,Cam ,S?u riêng 
287,"Trong quá trình phát tri?n c?a phôi ngu?i, l?p lông m?n trên b? m?t c?a phôi s? r?ng di vào lúc nào?",Phôi du?c 6 tháng ,Sau khi sih ,Phôi du?c 2 tháng ,Phôi du?c 8 tháng 
288,Chi?n tranh th? gi?i l?n th? nh?t có kho?ng bao nhiêu ngu?i thi?t m?ng?,10 tri?u ,5 tri?u ,15 tri?u ,20 tri?u 
289,Huy?n Ch? M?i thu?c t?nh nào c?a nu?c ta?,B?c K?n ,Thái Nguyên ,Tuyên Quang ,Yên Bái 
290,Ð?o kh? là noi duy nh?t ? Vi?t Nam nuôi kh? d? s?n xu?t v?c xin thu?c vùng nào?,Qu?ng Bình ,Nha Trang ,Qu?ng Ninh ,C?n Gi? 
291,Sa m?c nào l?n nh?t th? gi?i?,Sa m?c Sahara,Sa m?c Gobi,Sa m?c Great Victoria,Sa m?c Great Sandy 
292,Th? v?n h?i mùa dông nam 1952 du?c t? ch?c ? qu?c gia nào?,Na Uy ,Áo,Italia,Pháp 
293,Nam nào du?c coi là nam ra d?i c?a Di truy?n h?c?,1900,1600,1700,1800
294,Lý Thu?ng Ki?t xây d?ng phòng tuy?n ch?ng quân T?ng th? k? XI t?i dâu?,D?c sông C?u ,?i Chi Lang ,D?c sông Cà L? ,C?a sông B?ch Ð?ng 
295,"Nam 2010, thành ph? Ðà L?t k? ni?m bao nhiêu nam?",117 nam ,118 nam ,119 nam ,120 nam 
296,Co quan nào thu?c h? th?n kinh dóng vai trò gi? thang b?ng trong co th? ngu?i?,Ti?u não ,Ð?i não ,Bán c?u não ph?i ,Thu? não 
297,Cu?c kh?i nghia c?a Bà Tri?u Tri?u Th? Trinh nh?m ch?ng l?i tri?u d?i phong ki?n nào?,Nhà Ngô ,Nhà T?n,Nhà Th?c ,Nhà Nguy?n 
298,Huy?n Ð?nh Hoá thu?c t?nh nào c?a nu?c ta?,Thái Nguyên ,L?ng Son ,Vinh Phúc ,B?c Giang 
299,Chi?n tranh Nga  Nh?t di?n ra trong bao lâu?,1 nam ,2 nam ,3 nam ,4 nam 
300,Qu?c gia nào là quê huong c?a hoa h?u th? gi?i nam 2006?,CH Séc,Venezuela,Ba Lan ,Th? Nhi K?
301,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1948?,Thu? Si ,Na Uy ,Italia,Hoa K?
302,Ð?i Robocon Vi?t Nam 1 l?t vào t?i vòng m?y trong cu?c thu Robocon 2007?,Vòng t? k?t ,Vòng lo?i ,Vòng bán k?t ,Vòng chung k?t 
303,Tr?n dánh quy?t d?nh th?ng l?i hoàn toàn c?a cu?c kh?i nghia Lam Son là?,Chi Lang  Xuong Giang,Tân Bình  Thu?n Hoá ,T?t Ð?ng  Chúc Ð?ng ,C?n Tr?m  Ph? Cát 
304,"Trong các s? nguyên duong nh? hon 100, có bao nhiêu s? không chia h?t cho 3 và 4?",50,25,75,100
305,Trò choi ô ch? xu?t hi?n l?n d?u tiên ? New York vào nam nào?,1913,1902,1908,1916
306,Huy?n Ph? Yên thu?c t?nh nào c?a nu?c ta?,Thái Nguyên ,Vinh Phúc ,L?ng Son ,Tuyên Quang 
307,"Mu?n d?n tham di tích l?ch s? Dinh h? Vuong, b?n ph?i d?n d?a danh nào?",Hà Giang,Lào Cai ,Hoà Bình ,Tuyên Quang 
308,Môn bóng bàn có ngu?n g?c ? qu?c gia nào?,Anh ,Trung Qu?c,Singapore,Ð?c
309,Th? v?n h?i mùa dông nam 1936 du?c t? ch?c ? qu?c gia nào?,Ð?c ,Pháp ,Thu? Si ,Na Uy 
310,Album d?u tiên c?a Michael Jackson tên là gì,Ben,Got to be there,Off the wall,Thirller
311,Ch? qu?c ng? l?n d?u tiên xu?t hi?n ? nu?c ta vào th? k? th? m?y?,Th? k? VII ,Th? k? XV,Th? k? XVI,Th? k? VIII
312,S? thi dài nh?t nu?c ta là c?a dân t?c nào?,Mu?ng,Tày ,Nùng ,Cham 
313,B? ph?n nào có ch?c nang là giá d? và h? tr? ho?t d?ng co giãn c?a 2 lá ph?i?,Co hoành ,Xuong s?ng ,L?ng ng?c ,Xuong su?n 
314,"Phuong pháp in b?ng ch? n?i do ngu?i Ð?c sáng ch? nam 1440, g?i là gì?",In typô,In litô k?m ,In ?ng d?ng ,In hoà m?u 
315,Huy?n Võ Nhai thu?c t?nh nào c?a nu?c ta?,Thái Nguyên ,B?c K?n ,Vinh Phúc ,B?c Giang 
316,Ð?a d?o Vinh M?c n?m ? t?nh nào?,Qu?ng Tr? ,C? Chi ,C?n Tho ,Qu?ng Bình 
317,Tr?n d?ng d?t có cu?ng d? l?n nh?t 9.5 richte t?ng x?y ra ? qu?c gia nào?,Chile,Indonesia,Nh?t B?n ,Nga 
318,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1932?,Hoa K? ,Na Uy ,Áo ,Nh?t B?n 
319,"Vào th? k? XVI, ? nu?c ta dã xu?t hi?n tôn giáo m?i là?",Thiên chúa giáo ,Ph?t giáo ,Nho giáo ,Ð?o giáo 
320,Chùa Diên H?u chùa M?t C?t du?c xây d?ng theo gi?c mo c?a v? vua th?i nào?,Nhà Lý ,Nhà Thanh ,Nhà Minh ,Nhà Nguy?n 
321,"Ch? Hoà, M?t Ð?ng viên, Nicô Ðàm Vân d?u là nh?ng v? k?ch c?a tác gi? nào?",H?c Phi,Nguy?n Huy Tu?ng ,Th? L? ,Nguy?n Ðình Nghi 
322,Huy?n B?c Son thu?c t?nh nào c?a nu?c ta?,L?ng Son ,Qu?ng Ninh ,B?c Giang ,Thái Nguyên 
323,Vu?n qu?c gia Pù Mát n?m ? t?nh nào?,Ngh? An ,Hoà Bình ,H?i Duong ,Ninh Bình 
324,Qu?c gia nào s? t? ch?c Th? v?n h?i mùa dông nam 2014?,Nga ,Pháp ,Hoa K?,Canada
325,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1928?,Thu? Si ,Hoa K? ,Ð?c ,Nam Tu 
326,Bài tho Nam Qu?c Son Hà ra d?i nam nào?,1077,931,938,1478
327,Ông vua nào dã coi ch? Nôm là ch? vi?t chính th?c c?a nu?c ta?,H? Quý Ly ,Tr?n Thánh Tông ,Lê Thánh Tông,Quang Trung
328,Danh nhân Tr?n Nguyên Ðán là ông ngo?i c?a ai?,Nguy?n Trãi ,Nguy?n Khuy?n ,Nguy?n Ðình Chi?u ,Nguy?n Du 
329,V? tr?ng nguyên nh? tu?i nh?t trong l?ch s? thi c? Vi?t Nam?,Nguy?n Hi?n ,Lê  Van Th?nh ,Vu Tu?n Chiêu ,Nguy?n Kì 
330,"Hai câu tho: Quê huong khu?t bóng hoàng hôn, trên sông kh?i sóng cho bu?n lòng ai du?c d?ch ra t? tho c?a ai?",Thôi Hi?u ,Lý B?ch ,B?ch Cu D? ,Ð? Ph? 
331,Huy?n Chi Lang thu?c t?nh nào c?a nu?c ta?,L?ng Son ,Thái Nguyên ,B?c Giang ,Qu?ng Ninh 
332,Trong tác ph?m Vi hành Nguy?n Ái Qu?c dã châm bi?m v? vua nào c?a tri?u Nguy?n?,Kh?i Ð?nh ,T? Ð?c,B?o Ð?i ,Duy Tân 
333,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 2010?,Canada,Nga ,Áo ,Hoa K?
334,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1924?,Pháp ,Thu? Si ,Hoa K? ,Ð?c 
335,"Trong môn th? thao bóng bàn, chi?u dài c?a bàn bóng bàn là bao nhiêu?","2,7m",2.8m,"2,6m","2,9m"
336,Ông hoàng nh?c Pop Michael Jackson là con th? m?y trong gia dình?,8,9,6,7
337,Bi?n B?ch H?i thu?c d?i duong nào?,B?c Bang Duong ,Ð?a Trung H?i ,?n Ð? Duong ,Thái Bình Duong 
338,Tr?ng nguyên cu?i cùng trong l?ch s? nu?c ta?,Tr?nh Tu? ,Nguy?n Ð?ng Ð?o,Tr?n T?t Van ,Tr?ng Qu?nh 
339,Tr?n Ði?n Biên Ph? trên không di?n ra trong bao nhiêu ngày dêm?,12,11,13,14
340,? Hu? có m?y lang t?m c?a các vua nhà Nguy?n?,7,4,5,6
341,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 2006?,Italia,Nh?t B?n ,Hàn Qu?c,Nga 
342,Ð?ng v?t nguyên sinh thu?c gi?i gì?,Nguyên sinh ,Kh?i sinh ,N?m ,Ð?ng v?t
343,"Cho dãy s? 6, 24, 60, 120,  Hãy tìm s? ti?p theo?",420,104,180,920
344,Quê g?c c?a ca si Ðàm Vinh Hung huy?n nào Qu?ng Nam?,Ði?n Bàn,Ð?i L?c,Phú Ninh,Nông Son
345,H?c H?i thu?c d?i duong nào?,Ð?a Trung H?i ,Thái Bình Duong ,?n Ð? Duong ,B?c Bang Duong 
346,H?i Vi?t Nam cách m?ng thanh niên ra d?i vào th?i gian nào?,Tháng 6 nam 1925 ,Tháng 6 nam 1922 ,Tháng 7 nam 1927 ,Tháng 7 nam 1929 
347,Nam di?n viên dóng vai chính trong phim L?y v? Sài Gòn là ai?,Nguyên Vu ,Quang Dung ,Lam Tru?ng ,Ðan Tru?ng 
348,Huy?n Mu?ng La thu?c t?nh nào c?a nu?c ta?,Son La ,Lai Châu ,Hoà Bình ,Thanh Hoá
349,Nhà thiên van h?c vi d?i Nicolas Copernicus là ngu?i nu?c nào?,Ba Lan ,Anh,Hy L?p ,Hà Lan 
350,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 2002?,Hoa K? ,Italia,Thu? Si ,Canada
351,Ði?m d?c trung nh?t c?a các sinh v?t trong gi?i d?ng v?t là gì?,Nhân so,Nhân th?c ,S?ng kí sinh ,Có kh? nang di chuy?n
352,Tên c?a ngu?i l?p ra nhà Hán?,Luu Bang ,T?n Thu? Hoàng ,Gia Cát Lu?ng ,Lã B?t Vi 
353,H?ng H?i thu?c d?i duong nào?,?n Ð? Duong ,B?c Bang Duong ,Ð?a Trung H?i ,Ð?i Tây Duong
354,"? Vi?t Nam, Ph?t Giáo và Ð?o giáo suy y?u vào th?i gian nào?",T? th? k? XIV,T? th? k? XV,T? th? k? XVI,T? th? k? XVII
355,Ngu?i th?ng nh?t các b? l?c Mông C? là ai?,Thành Cát Tu Hãn ,Ái Nhi Cáp T? ,Tu Mã ,Ngu T? Tu 
356,Huy?n Yên Th? thu?c t?nh nào c?a nu?c ta?,B?c Giang ,B?c Ninh ,Qu?ng Ninh ,L?ng Son 
357,Lênin sinh nam bao nhiêu?,1865,1866,1867,1868
358,Qu?c gia nào dã t? ch?c Th? v?n h?i mùa dông nam 1998?,Nh?t B?n ,Vi?t Nam,Nga ,Canada
359,"Trong h? s?ng, m?i quan h? v? sinh s?n bi?u hi?n rõ nh?t ? c?p d? t? ch?c nào?",Qu?n th? ,T? bào ,Qu?n xã ,Loài 
360,"Mê Linh, kinh dô th?i Trung Vuong, nay thu?c t?nh nào?",Vinh Phúc ,Ðà N?ng ,Th?a Thiên Hu? ,Phú Th?
361,Nh?c si Sôpanh là ngu?i nu?c nào?,Ba Lan ,Nga ,Ð?c ,Áo 
362,V? tu?ng tài ba Mông C? Thành Cát Tu Hãn l?y v? nam bao nhiêu tu?i?,16,17,15,19
363,Gi? k? l?c chi?n tranh ng?n nh?t trong l?ch s? mà ph?n th?ng thu?c v? nu?c nào?,Anh ,Ð?c ,Nh?t ,M? 
364,Ai là ngu?i theo Phan Ðình Phùng dúc súng ch?ng Pháp?,Cao Th?ng ,Lê Vu C?u ,La Van C?u ,Tr?n Hung Ð?o 
365,Qu?n H?ng Bàng tr?c thu?c thành ph? nào c?a nu?c ta?,Tp. H?i Phòng ,Tp. Hà N?i ,Tp. Hu? ,Tp. C?n Tho 
366,Vi?t Nam trên du?ng chúng ta di là sáng tác c?a nh?c si nào?,Huy Du ,Tr?n Chung ,Tri?u Dâng,Bùi Ð?c H?nh
367,Imagine Cup là cu?c thi dành cho Sinh viên v? linh v?c gì?,Công Ngh? Thông Tin,Sân Kh?u Ði?n ?nh,Ði?n t? Vi?n Thông,Kinh t? Qu?n lý
368,Ð?t nu?c nào là quê huong c?a ông già Tuy?t?,Ph?n Lan,Ðan m?ch,Nauy,Th?y Ði?n
369,Nhân v?t chu?t Mickey c?a Watl Disney du?c t?o ra vào nam nào?,1928,1925,1926,1932
370,H?p ch?t nào sau dây bao hàm các thu?t ng? còn l?i?,Cacbonhydrat,Tinh b?t ,Gluco,Sacarozo
371,"Quan sát 1 h?p t? c?a 1 loài d?ng v?t dang th?c hi?n nguyên phân, cho bi?t s? t? bào có ? k? sau c?a l?n nguyên phân th? ba?",4 t? bào,2 t? bào ,6 t? bào ,8 t? bào 
372,Ti?ng Anh và ti?ng Pháp có ngu?n g?c t??,Ti?ng Ð?c ,Ti?ng Hy L?p ,Ti?ng Tây Ban Nha ,Ti?ng B? Ðào Nha
373,Tên th? tru?ng b? giáo d?c và cung là m?t thi?u tu?ng trong kháng chi?n ch?ng M??,H?ng Phát,Lê Tru?ng ,Tr?n Quy?n ,Bùi Bình
374,Piano ti?ng  có nghia là gì?,Êm d?u ,Thang tr?m ,L?ng l? ,Du duong 
375,T?ng th?ng nào t?ng là m?t phi công h?i quân du?c t?ng thu?ng huy chuong?,George H. W. Bush,Ronald Reagan,Richard Nixon,John F. Kennedy
376,Sông Mêkông dài kho?ng bao nhiêu km?,4200Km,4000Km ,5800Km,4500Km
377,Nh?ng ánh sao dêm là sáng tác c?a nh?c si nào?,Phan Hu?nh Ði?u ,Ð? Nhu?n ,Hu?nh Tho ,Th? Song 
378,Ðu?ng Fructozo là gì?,Ðu?ng don ,Axit béo ,Ðu?ng dôi ,Ðu?ng da
379,"Nguyên phân, cho bi?t s? t? bào có ? k? sau c?a l?n nguyên phân th? ba?",4 t? bào,2 t? bào ,6 t? bào,8 t? bào 
380, Ai là ngu?i gi? d?ng phóng viên d? muu sát Toàn quy?n Ðông Duong?,Ph?m H?ng Thái ,Ph?m Van Ð?ng ,H? Tùng M?u ,Tôn Ð?c Th?ng 
381,"Ph? du?c mang vào mi?n Nam, c? th? ? Sài Gòn vào nam nào?",1954,1554,1994,1945
382,S? tích Tr?u cau theo truy?n thuy?t dã x?y ra vào d?i vua Hùng th? bao nhiêu?,12,10,14,16
383,V? nhi?m d?c thu? ngân ? v?nh Minamata Nh?t do nu?c th?i x?y ra vào nam nào?,1952,1996,1946,1899
384,Loài Sao La du?c phát hi?n t?i Vi?t Nam vào nam nào?,1993,1991,1992,1994
385,Xuân chi?n khu là sáng tác c?a nh?c si nào?,Xuân  H?ng ,Ð? Nhu?n ,Ánh Duong ,Lu Nh?t Vu 
386,H?p ch?t nào sau dây không ph?i là ch?t h?u co?,Mu?i Cacbonat,Lipit,Ðu?ng Gluco,Protein 
387,L?n d?u tiên nu?c ta dùng qu? b?c phá g?m 1000kg thu?c n? d? dánh gi?c ? dâu?,Ði?n Biên Ph? ,Ðà N?ng ,Buôn Mê Thu?t ,Sài Gòn 
