id,Questions,A,B,C ,D
260,Ca sỹ Việt Nam gắn với nhiều giải thưởng âm nhạc quốc tế?,Mỹ Tâm,Đàm Vĩnh Hưng,Hồ Ngọc Hà,Phương Linh
261,Taylor Swift là ca sĩ của thể loại nhạc nào?,Nhạc đồng quê,Nhạc Pop,Rock,R&B
262,OST là nhạc gì?,Nhạc nền,Nhạc thính phong,Nhạc phim,Nhạc nhẹ
263,Giải thưởng âm nhạc danh giá nhất?,Grammy,Oscar ,Giải cống hiến,Cành cọ vàng
264,Ca sĩ Justin Bieber được mệnh danh là gi?,Hoàng tử nhạc Pop,Vua nhạc Pop,Nữ hoàng nhạc PoP,Không là gì
265,Heal the World là bài hát nổi tiếng của ca sĩ nào?,Michael Jackson,Shakira ,Taylor Swift,Lady Gaga
266,Nữ ca sĩ có phong cách quái dị nhất?,Lady Gaga,Taylor Swift,Adele,Katy Perry
267,"Bài hát ""See you again"" được sử dụng trong bộ phim nào?",Fast and Furious 7,Cướp biển,DeadPool,Titanic 
268,Lễ hội Summer Sonic là lễ hội âm nhạc ở đâu?,Nhật Bản,Nga,Mỹ ,Canada
269,Đâu là liên hoan âm nhạc điện tử lớn nhất thế giới?,Tomorrowland,Music Festival,Ultra Music Festival,Ozzfest
270,"""Baby"" là ca khúc làm nên tên tuổi của ca sĩ nào?",Justin Bieber,Michael Jackson,Shayne Ward,Maroon5
271,Ca khúc làm mưa làm gió trong nền âm nhạc thế giới năm 2015?,Hello,What do you mean,Fade,Sorry
272,Ca khúc nào được Katy Perry thể hiện trong Olympic 2016?,Rise,Roar,Hot 'N Cold,Dark Horse 
273,Michael Jackson mất năm nào?,2009,2010,2011,2012
274,"Ca khúc ""My Love"" gắn với tên tuổi của ban nhạc nào?",Westlife,Backstresst Boy,The Beatle,Boyzone
275,"""We don't talk anymore"" được Charlie Puth thể hiện với ca sĩ nào?",Selena Gomez,Lady Gaga,Taylor Swift,My Tam
276,Ca sĩ Selena Gomez là người nước nào?,Mỹ,Úc,Pháp,Anh
277,Ca khúc Hello của Adele nằm trong Album thứ mấy?,3,1,4,5
278,Ca sĩ Shakira là người nước nào?,Colombia,Nga,Trung Quốc,Ý
279,Bài hát Waka Waka được Shakira thể hiện trong World Cup năm bao nhiêu?,2010,2014,2006,2002
280,Ca sĩ nào thể hiện ca khúc Dimonds?,Rihanna,Katy Perry,Jenifer Lopez ,Lady Gaga
281,Michael Jackson sinh năm bao nhiêu?,1958,1959,1960,1961
282,Shakira đã thể hiện ca khúc nào tại World Cup 2014?,La La La,Waka Waka,Whenever Wherever,Beautiful Liar
283,Ai là người được mệnh danh là Công chúa nhạc đồng quê?,Taylor Swift,Katy Perry,Lady Gaga,Selena Gomez
284,"Đồ, rê, mi, pha, son…là nói đến môn nghệ thuật gì?",Âm nhạc,Phim ảnh,Thể thao,Hài kịch
285,Xướng âm là đọc lên những ký hiệu âm nhạc đúng cao độ và ….?,Trường độ,Âm sắc,Giai điệu ,Độ trầm
286,Cây sáo cổ nhất được các nhà khoa học tìm thấy được làm bằng gì?,Ngà voi ma mút,Sừng tê giác,Cây trúc,Đá
287,Nhạc cụ nào thường được chơi nơi có gió?,Aeolian,Guitar,Sáo,Violin
288,Sáo được phân ra làm mấy loại?,2,3,4,5
289,Beethoven là ai?,Nhà soạn nhạc,Ca sĩ,Vũ Công,Diễn viên
290,Bản nhạc nổi tiếng Moonlight Sonata là của nhà soạn nhạc nào?,Beethoven,Mozart,William Lawes,Thomas Mace
291,EDM được tạo ra từ những nhạc cụ nào?,Từ các thiết bị điện tử,Violin ,Sáo,Trống
292,Thể loại nhạc điện tử được viết tắt là gì?,EDM,EEM,EMM,EDD
293,Nhạc nền viết tắt là gì?,OST,OMT,OTT,OOS
294,EDM có nguồn gốc từ đâu?,Mỹ,Châu Phi,Nhật Bản,Thái Lan
295,Âm nhạc nói chung được chia làm mấy thể loại?,2,3,4,5
296,Nhạc Jazz có nguồn gốc từ đâu?,Mỹ,Nhật,Nga ,Úc
297,Khuông nhạc là tập hợp những…?,Dòng kẻ ngang,Đấu chấm,Đấu phẩy,Dòng kẻ dọc
298,Thỉnh âm là từ ngữ thuộc lĩnh vực nào?,Âm nhạc,Phim ảnh,Người mẫu,Kinh tế
299,"Ở Việt Nam, từ Diva là nghĩa là gì?",Danh ca,Ca sĩ,Nhạc sĩ,Nghệ sĩ
300,DJ có nghĩa là gì?,Người phối nhạc,Ca sĩ,Diễn viên,Đạo diễn
301,Backstreet Boys là tên một…?,Nhóm nhạc,Ca sĩ,Nhạc sĩ,Diễn viên
302,Backstreet Boys là ban nhạc toàn thành viên là…?,Nam giới,Nữ giới,Cả Nam cả Nữ,Đồng tính
303,"Opera là loại hình nghệ thuật tổng hợp giữa sân khấu, thanh nhạc và …?",Âm nhạc,Diễn viên,Thanh nhạc ,Đạo diễn
304,Harmonica là tên của một loại…?,Nhạc cụ,Nhóm nhạc,Diễn viên,Bộ phim
305,Đâu không phải tên một nhóm nhạc?,G-Dragon,Westlife ,BigBang,Backstreet Boys
306,G-Dragon là thành viên của nhóm nhạc nào?,BigBang,Westlife ,Backstreet Boys,Boyzone
307,Nhóm trưởng của ban nhạc BigBang là ai?,G-Dragon,Taeyang ,T.O.P,Daesung
308,Đâu là nhóm nhạc tới từ Hàn Quốc?,BigBang,Westlife ,Backstreet Boys,Boyzone
309,Khi nói đến Ông hoàng nhạc POP là chúng ta nói đến…?,Michael Jackson,Bruno Mars,Justin Bieber,Sam Smith
310,Ca khúc My Heart Will Go On là nhạc phim cho bộ phim nổi tiếng nào?,Titanic,Người nhện,Người sắt,X-Men
311,Bài hát được thể hiện chính trong bộ phim Titanic là bài hát nào?,My heart will go on,My Love,Sorry,Baby
312,Bài hát See You Again để tưởng nhớ về….?,Paul Walker,Anton Yelchin,Johnny Lewis,Lý Tiểu Long
313,Ca khúc Hello được thể hiện thành công bởi ca sĩ nào?,Adele,Katy Perry,Rihanna,Jenifer Lopez
314,Michael Jackson là ca sĩ những thập niên đầu năm?,80,60,70,90
315,Ca sĩ nào đã dùng tiếng hát để phá vỡ rào cản phân biệt chủng tộc?,Michael Jackson,Adele,Justin Bieber,Jenifer Lopez
316,Ca sĩ Michael Jackson là người nước nào?,Mỹ,Úc,Canada,Anh
317,Đâu không phải là nhà soạn nhạc?,Justin Bieber,Bach,Beethoven,Mozart
318,Từ T trong MTV là viết tắt của từ gì trong lĩnh vực âm nhạc?,Television ,Tell,Talk,Twitch 
319,Đâu là thể loại nhạc kịch?,Opera,Jazz,Pop,R&B
320,Một bản giao hưởng do bao nhiêu người thể hiện?,Một dàn nhạc,1,2,3
321,Boyzone là tên của…?,Một ban nhạc,Một bài hát,Một ca sĩ,Một bộ phim
322,Chiếc máy nghe nhạc tự động đầu tiên trên thế giới ra đời năm nào? ,1906,1950,1960,1980
323,The Beatle là ban nhạc của những thập niên bao nhiêu?,60,70,80,90
324,The Beatle là ban nhạc….?,Rock,Pop,Jazz,Blues
325,The Beatle là ban nhạc Rock người…?,Anh,Mỹ,Pháp,Nga
326,DJ Soda là người nước nào?,Hàn Quốc ,Việt Nam,Mỹ ,Anh
327,Ca sĩ Justin Bieber sinh năm bao nhiêu?,1994,1995,1996,1997
328,Justin Bieber là ca sĩ người nước nào?,Canada,Mỹ,Anh ,Pháp
329,Tập hợp âm thanh theo một trật tự nhất đinh gọi là?,Hợp âm,Xướng Âm,Ca từ,Lời nhạc
330,Môn giúp con người biểu diễn âm thanh dưới dạng nốt nhạc hay ca từ gọi là…?,Nhạc lý,Thỉnh âm,Âm vực,Nhạc cụ
331,Khoảng cách giữa hai nốt nhạc gọi là?,Quãng,Nốt,Khoảng trống,Dấu cách
332,Thành phần cơ bản của âm nhạc phương Tây là?,Nốt nhạc,Nhạc cụ,Ca sĩ,Nhạc sĩ
333,Nhạc Lossless là loại nhạc gì?,Chất lượng cao,Chất lượng thấp,Bình thường,Nhạc không lời
334,Nhạc 128kbps là nhạc có chất lượng như thế nào?,Bình thường,Cao,Thấp,Cực thấp
335,"""See you again"" là tên của một…?",Bài hát,Ban nhạc,Quyển sách,Bộ phim
336,Bài hát để tưởng nhớ về nam diễn viên Paul Walk tên là gì?,See You Again,Miss You,My Love,Hello
337,Bài hát See You Again là bài hát do ai thể hiện?,Charlie Puth,Taylor Swift,Wiz Khalifa,Justin Bieber
338,Pep Guardiola là huấn luyện viên của đội tuyển Man City vào năm nào?,2016,2014,2012,2010
339,Pep Guardiola đã rời khỏi vị trí huấn luyện viên câu lạc bộ nào?,Barcelona,Bayern Munich,MU,Man City
340,La Liga là cúp bóng đá...?,Tây Ban Nha,Ngoại hạng Anh,Châu Âu,Thế giới
341,Huấn luyện viên Mourinho là người nước nào?,Bồ Đào Nha,Tây Ban Nha,Mỹ,Nga
342,"Mùa giải 2013-2015, Mourinho đã dẫn dắt câu lạc bộ nào?",Chelsea,Real Madrid ,Inter Milan,MU
343,Thế vận hội Mùa hè năm 2016 được tổ chúc ở nước nào?,Brazil ,Mỹ,Anh,Tây Ban Nha
344,Thành phố được chọn để tổ chức thế vận hội Mùa hè năm 2016 là…?,Rio de Janeiro,Sao Paulo,Salvador,Serra
345,Sân vận động nào được mệnh danh là Nhà hát của những giấc mơ?,Old Trafford,Etihad,Emirates,Stamford Bridge 
346,Sân vận động Stamford Bridge là của đội bóng nào?,Chelsea,MU,Manchester City,Bayern Munich
347,World Cup 2014 được tổ chức ở đâu?,Brazil ,Anh,Úc,Pháp
348,World Cup 2014 là giải bóng đá vô địch thế giới lần thứ bao nhiêu?,20,19,18,17
349,Đội tuyển vô dịch World Cup 2014 là đội tuyển nào?,Đức,Anh,Mỹ,Brazil
350,Novak Djokovic là vận động viên môn thể thao nào?,Tennis,Bóng đá,Bóng rổ,Bơi lội
351,Tay vợt Maria Sharapova là người nước nào?,Nga,Pháp,Úc,Bồ Đào Nha
352,Sân vận động Nou Camp ở đâu?,Tây Ban Nha,Bồ Đào Nha,Mỹ ,Brazil
353,LeBron James là vận động viên nổi tiếng của môn thể thao nào?,Bóng rổ,Bóng đá,Tennis,Bóng bàn
354,Michael Phelps là vận động viên môn…?,Bơi lội,Bóng đá,Tennis,Cờ vua
355,Cristiano Ronaldo  sinh năm bao nhiêu?,1985,1987,1989,1990
356,Danh hiệu quả bóng vàng năm 2015 thuộc về ai?,Cristiano Ronaldo ,Lionel Mession,Neymar ,Luis Suarez
357,Usain Bolt là vận động viên quốc gia nào?,Jamaica,Brazil,Mỹ ,Anh
358,Hoàng Xuân Vinh là vận động viên môn….?,Bắn súng,Bóng bàn,Bóng rổ,Nhảy cao
359,Cầu thủ Luis Suarez là người nước nào?,Uruguay ,Paraguay,Mỹ,Anh
360,Lionel Messi chơi ở vị trí nào?,Tiền đạo,Hậu vệ,Trung vệ,Tiền vệ
361,Câu lạc bộ giành vô dịch ngoại hạng anh năm 2015?,Leicester,Manchester United ,Manchester City,Chelsea 
362,Cúp bóng đá Nam Mỹ có tên là gì?,Copa America,La Liga,Premier League,World Cup
363,Vận động viên môn bắn súng người nước nào đã phá vỡ kỷ lục Olympic 2016? ,Việt Nam,Nga,Mỹ,Jamaica
364,Euro 2016 được tổ chức tại nước nào?,Pháp,Anh,Mỹ,Úc
365,Vận động viên chạy nhanh nhất thế giới tên là gì?,Usain Bolt,Justin Gatlin,Yohan Blake,Elaine Thompson 
366,"Tính đến năm 2016, Lionel Messi đã dành được mấy quả bóng vàng?",5,6,7,8
367,Công viên các hoàng tử là sân vận động của câu lạc bộ nào?,Paris Saint-Germain,MU,Man City,Juventus 
368,Sân vận động Ánh sáng là của đội bóng nào?,Sunderland,Inter Milan,Real Madrid ,Liverpool
369,Thánh địa Bernabeu - Sân nhà của đội bóng nào?,Real Madrid ,MU,Liverpool,Juventus 
370,Liên đoàn bóng đá Châu Âu viết tắt là gì?,UEFA,VFF,UFFA,UEEF
371,Môn thể thao được coi là môn thể thao nữ hoàng?,Điền kinh,Bóng đá,Bóng rổ,Bóng chuyền
372,Mỗi đội bóng rổ thi đấu trên sân có mấy người?,5,6,7,8
373,Bóng rổ ra đời ở nước nào?,Mỹ,Anh,Úc,Pháp
374,Pháo thủ thành Luân Đôn là đội bóng nào?,Asernal,MU,Man City,Juventus 
375,Quỷ đỏ là biệt danh của đội bóng nào?,Manchester United,Manchester City,Inter Milan,Sunderland
376,Đội bóng nào có biệt danh là Lữ đoàn đỏ?,Liverpool,Manchester City,MU,Juventus 
377,"Năm 2016, MU đã chiêu mộ thành công tiền vệ người pháp nào?",Paul Pogba,Rooney,Mata,Ibrahimovic
378,Maradona đã tham dự mấy kỳ World Cup?,4,5,6,7
379,Maradona là cậu thủ người nước nào?,Argentina,Brazil,Uruguay ,Bồ Đào Nha
380,"Ai được mệnh danh là ""Cậu Bé Vàng"" của bóng đá thế giới?",Maradona,Messi,Ronaldo,Luis Suarez
381,Bóng đá trong nhà gọi là gì?,Futsal,Butsan,Tutsan,Fusal
382,Lối chơi Tiki-taka là của đội bóng nào?,Barcelona,MU,Manchester City,Inter Millan
383,Cầu thủ được mệnh danh là người ngoài hành tinh?,Ronaldo béo,Cristiano Ronaldo,Messi,Kaka
384,Trọng tài bắt chính trong trận chung kết Euro 2016 là ai?,Mark Clattenburg,Pierluigi Collina,Jonas Eriksson,Simon Beck
385,Trọng tài nổi tiếng thế giới Pierluigi Collina là người nước nào?,Italia,Tây Ban Nha,Mỹ,Anh
386,Chiếc cup vô dịch World Cup hiện nay được sử dụng từ năm bao nhiêu?,1974,1975,1976,1977
387,Giải vô địch bóng đá thế giới được thành lập năm bao nhiêu?,1930,1935,1940,1945
388,Ronaldinho là danh thủ người nước nào?,Brazil ,Tây Ban Nha,Bồ Đào Nha,Đức
389,FIFA World Cup bị hủy bỏ 2 kỳ vào năm 1942 và năm bao nhiêu?,1946,1950,1954,1958
390,"Tính đến năm 2016, ai là cầu thủ duy nhất đạt 3 lân vô dịch World Cup?",Pele,Miroslav Klose,Just Fontaine,Ronaldinho
391,Trong quyền Anh hạng ruồi có cần nặng bao nhiêu kg?,46-49 Kg,50-60 Kg,69-75 Kg,75-81 Kg
392,Giải đua xe đạp vòng quanh nước Pháp có tên là gì?,Tour de France,Tout de France,Tour Le France,Tour de Fance
393,Thế vận hội Mùa hè hay còn được gọi là gì?,Olympic,Olympia,Olimpic,Olympi
394,SEA Games  22 được tổ chức tại Việt Nam vào năm bao nhiêu?,2003,2004,2005,2006
395,Olympic bắt nguồn từ các cuộc thi đấu thể thao từ thời kỳ nào?,Hy Lạp cổ đại,Sau công nguyên,Phục hưng,Thế kỷ 19
396,Ủy ban Olympic quốc tế viết tắt là gì?,IOC,WTO,WHO,UEEF
397,Trụ sở chính của Ủy ban Olympic quốc tế ở nước nào?,Thụy Sĩ,Mỹ ,Bồ Đào Nha,Anh
398,USOC là tên viết tắt của Ủy ban Olympic ở nước nào?,Mỹ,Việt Nam,Campuchia,Trung Quốc
399,Cơ quan chống Doping Quốc tế có trụ sở ở nước nào?,Canada,Anh,Thái Lan,Nga
400,Cơ quan chống Doping Quốc được viết tắt là gì?,WADA,WHO,WTO,NASA
401,Liên đoàn Cờ vua quốc tế viết tắt là gì?,FIDE,UNICEF,WTO,WHO
402,Giải vô địch bóng đá giữa các câu lạc bộ Châu Âu có tên là?,UEFA Champions League ,World Cup,Olympic,Ngoại hạng Anh
403,Môn chạy Marathon là để tôn vinh một người lính…?,Hy Lạp ,Châu Phi,Việt Nam,Mỹ
404,Thế vận hội mùa đông 2014 được tổ chức ở đâu?,Nga,Pháp,Nhật Bản,Mỹ
405,Olympic Bắc Kinh được diễn ra vào năm nào?,2008,2010,2012,2014
406,Olympic 2004 được tổ chức ở đâu?,Hy Lạp,Trung Quốc,Brazil,Mỹ
407,Lực sĩ ném đĩa là bức tượng nổi tiếng của nước nào?,Hy Lạp,Mỹ,Anh,Nga
408,Liên đoàn điền kinh quốc tế viết tắt là gì?,IAAF,AFF,WTO,IOC
409,Người chơi môn khúc côn cầu sử dụng gì để điều khiển bóng?,Gậy,Tay,Chân,Đầu
410,Bài hát khai mạc Olympic Bắc Kinh 2008 do bao nhiêu người thể hiện?,Rất nhiều người,2,3,4
411,Kền kền trắng là biệt danh của đội bóng nào?,Real Madrid ,Juventus ,Asernal ,MU
412,Võ sĩ quyền anh Manny Pacquiao là người nước nào?,Phillipines,Malaysia ,Indonesia,Thái Lan
413,Trận quyền Anh thế kỷ giữa Mayweather và Pacquiao diễn ra vào năm nào?,2015,2014,2013,2016
414,"Tính đến năm 2015, ai là cầu thủ ghi nhiều bàn thắng nhất cho tuyển Anh?",Rooney,Joe Hart,John Stones,Jamie Vardy
415,Khi nói đến môn thể thao F1 là nói đến môn thể thao nào?,Đua xe,Bóng đá,Bóng chuyền,Bơi lội
416,Tay vợt Novak Djokovic  đã đạt tổng cộng bao nhiêu danh hiệu trong 2015?,11,13,15,17
417,Đại hội Olympic được tổ chức như thế nào?,Vào các năm chẵn,Vào các năm lẻ,Cả A và B,4 năm 1 lần
418,Giải vô địch Wimbledon là giải đấu dành cho môn thể thao nào?,Quần vợt,Bóng đá,Bóng chày,Bóng rổ
419,Giải vô địch quần vợt Wimbledon được tổ chức tại đâu?,Lôn Đôn,New York,Paris,Copenhagen
420,"Trong các trận đấu tại giải, các cô và cậu bé nhặt bóng, còn được gọi là?",BBG,BBC,CNN,DJ
421,Hai chị em nhà Williams là hai vận động viên nổi tiếng với môn thể thao nào?,Quần vợt,Bóng bàn,Bóng đá,Cầu lông
422,Grand Slam là một trong những giải của môn thể thao nào?,Quần vợt,Bóng đá,Bơi lội,Đấu kiếm
423,"Giải Pháp mở rộng, Mỹ mở rộng là giải đấu của môn nào?",Quần vợt,Cử tạ,Bơi lội,Đua xe đạp
424,Cầu thủ bóng đá được mệnh danh là voi rừng?,Drogba,David Backham ,Messi,Ronaldo
425,Hiệp hội quần vợt nhà nghề viết tắt là?,ATP,IOC,WHO,WTO
426,Tay vợt nam đứng đầu bảng xếp hạng đơn môn quần vợt tháng 12 -2015 là ai?,Novak Djokovic,Rafael Nadan,Roger Federer,Andy Murray
427,Giải thưởng dành cho cầu thủ ghi nhiều bàn thắng nhất trong mùa là?,Chiếc giày vàng Châu Âu,Oscar,Mâm xôi vàng,Quả bóng vàng
428,Giải vô địch U20 thế giới được tổ chức mấy năm 1 lần?,2,3,4,5
429,Liên đoàn bóng đá Châu Phi viết tắt là gì?,CAF,AFF,CFF,CAA
430,Chiếc giày vàng Châu Âu năm 2015 thuộc về ai?,Cristiano Ronaldo ,Messi,Neymar ,Mata
431,Ai là thủ môn của câu lạc bộ Barcelona năm 2016?,Claudio Bravo,Van de Sar,Casilla,Petr Cech
432,Thủ thành Petr Cech là người nước nào?,Cộng hòa Séc,Bỉ,Italia,Đức
433,Huy chương vàng Olympic 2016 được mạ bao nhiêu gam vàng?,6 g,8 g,10 g,12 g
434,Lễ khai mạc Euro 2016 được tổ chức vào ngày nào?,11 tháng 6,11 tháng 7,11 tháng 8,11 tháng 9
435,Cầu mây có nguồn gốc từ đâu?,Đông nam Á,Châu Âu,Châu Phi,Nam Mỹ
436,Donald Trump đã tranh cử tổng thống mỹ vào năm bao nhiêu?,2016,2009,2013,2012
437,"Tính đến năm 2015, ai là tổng thống Mỹ?",Barack Obama,Clinton,Bush,Nixon
438,Sheryl Sandberg là giám đốc tác nghiệp của mạng xã hội nào?,Facebook,Twitter,Yahoo,Instagram
439,David William Donald Cameron giữ trức vụ gì năm 2016?,Thủ tướng Anh,Giám đốc ngân hàng,Doanh nhân,Phó thủ tướng Anh
440,Youtube là mạng xã hội thuộc về tập đoàn nào?,Google,Apple ,Alibaba,Amazon
441,Hillary Clinton là người nước nào?,Mỹ,Anh,Pháp ,Nga
442,Tổng thống Nga Putin sinh năm bao nhiêu?,1952,1956,1960,1964
443,Dmitry Anatolyevich Medvedev được bổ nhiệm làm tổng thống nga vào năm nào?,2008,2005,2006,2007
444,Fidel Castro nhà lãnh đạo Cuba sinh năm nào?,1927,1937,1947,1957
445,Tổn thống Hugo Chavez là vị tổng thống người nước nào?,Venezuela,Nga,Mỹ ,Philippines 
446,John Kennedy là tổng thống đời thứ bao nhiêu của Mỹ?,35,36,37,38
447,Nelson Mandela là người ở đâu?,Nam Phi,Trung Quốc,Philippines,Malaysia
448,Ca sĩ G-Dragon là người nước nào?,Hàn Quốc ,Trung Quốc,Nhật Bản,Thái Lan
449,Cô ca sĩ Rihanna sinh năm bao nhiêu?,1988,1990,1992,1994
450,Diễn viên Alan Rickman trong phim Harry Potter mất năm nào?,2016,2015,2014,2013
451,Ai đã thủ vai nhân vật Harry Potter trong bộ phim cùng tên?,Daniel Radcliffe ,Charity Burbage,Rolanda Hooch,Rubeus Hagrid
452,Kim là người nổi tiếng với siêu vòng mấy?,Vòng 3,Vòng 1,Vòng 2,Vòng tròn
453,Mark Zuckerberg lọt vào top 10 tỉ phú thế giới vào năm nào?,2016,2015,2014,2013
454,"Năm 2016, ai là người giầu nhất thế giới?",Bill Gate,Mark Zuckerberg,Amancio Ortega,Warren Buffet
455,Tỉ phú Amancio Ortega là tỉ phú về lĩnh vực gì?,Thời trang,Kinh tế,Công nghệ,Du lịch
456, Jeff Bezos là nhà sáng lập của tập đoàn nào?,Amazon,Alibaba,Apple,Microsoft
457,Larry Ellison là CEO của công ty chuyên sản xuất về cái gì?,Phần mền,Máy tính,Điện thoại,Tivi
458,Priscilla Chan là ai của CEO Facebook?,Vợ,Chị gái,Bạn,Em gái
459,Priscilla Chan và Mark Zuckerberg là người nước nào?,Mỹ,Anh,Pháp ,Úc
460,Priscilla Chan làm nghề gì?,Bác sĩ,Marketing,Giáo viên,Kế toán
461,Siêu mẫu nổi tiếng Gisele Bundchen là người nước nào?,Brazil,Nhật Bản,Mỹ ,Anh
462,Nam diễn viên Kim Bum của bộ phim Vườn Sao Băng sinh năm bao nhiêu?,1989,1991,1993,1995
463,Cầu thủ Zlatan Ibrahimovic là người nước nào?,Thụy Điển,Anh,Pháp ,Mỹ
464,Cầu thủ Paul Pogba sinh năm bao nhiêu?,1993,1994,1995,1996
465,"Năm 2016, Paul Pogba đã ra nhập câu lạc bộ nào?",MU,Man City,Inter Milan,Juventus
466,Thủ môn Victor Valdes là người nước nào?,Tây Ban Nha,Ý ,Anh,Mỹ
467,Tài tử Vin Diesel sinh năm bao nhiêu?,1967,1970,1975,1980
468,Diễn viên Hollywood Vin Diesel là người nước nào?,Mỹ ,Anh ,Úc ,Pháp
469,Seri phim Fast and Furious gắn liền với tên tuổi của ai?,Vin Diesel,Rihanna,Alan Rickman,Justin Bieber
470,Nam diễn viên Holllywood Will Smith sinh năm bao nhiêu?,1968,1970,1972,1974
471,Ai là đạo diễn bộ phim Fast and Furious 7?,James Wan,Vin Diesel,Paul Walker,Chris Morgan
472,Cô ca sĩ Selena Gomez là người nước nào?,Mỹ ,Anh,Pháp ,Úc
473, Tom Hanks là diễn viên người nước nào?,Mỹ,Nga,Canada,Ý
474,Tháp Eiffel nằm ở thành phố nào? ,Paris,Luôn Đôn,New York,Bangkok
475,Tháp Eiffel cao bao nhiêu mét?,325 mét,360 mét,400 mét,500 mét
476,"Tính đến năm 2016, tòa nhà cao nhất thế giới nằm ở đâu?",Ấn Độ ,Ai Cập,Mỹ,Trung Quốc
477,Tòa nhà cao nhất thế giới có tên là gì?,Kingdom Tower,Greenland Centre,The Pearl, Lotte World Tower
478,Tòa nhà cao nhất thế giới có độ cao bao nhiêu?,3281 Ft,3000 Ft,4000 Ft,4600 Ft
479,Thành phố nào được mệnh danh là thành phố nghìn cửa sổ?,Berat,Bắc Kinh, Paris,Luôn Đôn
480,Lễ hội đánh nhau bằng gối ở nước nào?,Rumani,Ai Cập,Việt Nam,Thái Lan
481,"Tính đến 2016, đâu là thành phố nhiều triệu phú nhất thế giới?",Monaco,New York,Paris,Luôn Đôn
482,Vùng núi Zhangye Danxia sặc sỡ đầy mầu sắc là ở đâu?,Trung Quốc,Mỹ ,Anh,Úc
483,Hố xanh vĩ đại là một hố sâu nằm dưới mặt biển ngoài khơi bờ biển nào?,Belize,Biển đen,Biển Balitc ,Biển đỏ
484,Đất nước nào luôn được mệnh danh là quê hương của hoa Tulip?,Hà Lan,Trung Quốc ,Nhật Bản,Việt Nam
485,"Hang Sơn Đoòng, nằm trong quần thể hang động nào?",Phong Nha-Kẻ Bàng,Động Hương tích,Tràng An,Động Thiên cung
486,Hang động băng Mendenhall là ở nước nào?,Mỹ ,Anh ,Ai Cập ,Nga
487,Thác nước Victoria nằm ở đâu?,Châu Phi,Châu Âu ,Châu Á,Châu Mỹ
488,Thác nước Victoria nằm giữa biên giới Zimbabwe và nước nào?,Zambia,Algeria,Angola,Congo
489,Bãi biển có bãi cát trắng nhất thế giới dài 7km nằm ở đâu?,Australia,Nga,Brazil,Nhật Bản
490,Bờ biển Whitehaven là một trong những địa điểm du lịch nỏi tiếng ở đâu?,Australia,Anh ,Brazil,Việt Nam
491,Hang động đom đóm ở đâu?,New Zealand,Nga,Anh,Ai Cập
492,Hồ đổi màu trên đỉnh núi Kelimutu ở quốc gia nào?,Indonesia,Trung Quốc ,Malaysia,Thái Lan
493,Công viên Hitachi Seaside là một trong những điểm du lịch “vàng” của đất nước nào?,Nhật Bản,Hàn Quốc,Mỹ,Hà Lan
494,Bức tượng một người đi du lịch ở Oviedo là ở nước nào?,Tây Ban Nha,Thái Lan ,Nhật Bản,Hàn Quốc
495,Sân bay Gisborne giao nhau với đường sắt là ở quốc gia nào?,New Zealand,Nga,Anh ,Mỹ
496,Sân bay Don Mueang với sân golf 18 lỗ nằm giữa 2 đường băng ở đâu?,Thái Lan, Úc ,Anh ,Mỹ
497,"Sân bay quốc tế Kansai, Nhật Bản được làm ở đâu?",Trên biển,Trên núi ,Trên đường ,Trên đồi
498,Du lịch ba lô hay còn được gọi là?,Du lịch bui,Du lịch mạo hiểm,Du lịch hội thảo,Du lịch làm ăn
499,Đâu được coi là biểu tượng của nước Anh?,Big Ben,Eiffel,Tháp nghiêng Pisa,Dãy núi Anpo
500, Hội các tổ chức du lịch chính thể viết tắt là gì?,UIOOPT,NASA,NATO,WTO
501,Ngày du lịch thế giới được tổ chức vào ngày nào?,27 tháng 9,27 tháng 10,27 tháng 11,27 tháng 12
502,Khóa họp lần thứ 12 của Tổ chức Du lịch Thế giới ở nước nào?,Thổ Nhĩ Kỳ ,Ai Cập,Việt Nam,Campuchia
503,Tổ chức du lịch thế giới viết tắt là gì?,UNWTO,WTO,WHO,UUWTO
504,Đâu là tạp chí du lịch hàng đầu thế giới?,Lonely Planet,Play Boys,Vogue,InStyle
505,Tượng thần Zeus ở Olympia là ở quốc gia nào?,Hy Lạp ,Nga ,Anh ,Úc
506,Ngọn hải đăng là kỳ quan cổ đại Alexandria là ở nước nào?,Ai Cập,Ấn Độ,Mỹ ,Pháp
507,Rạn san hô Great Barrier hùng vĩ và đẹp nhất thế giới ở nước nào?,Úc,Trung Quốc ,Mỹ,Việt Nam
508,Nước nào  là quốc gia nằm ở vị trí thấp nhất trên trái đất?,Maldives,Ai Cập,Ấn Độ ,Ý
509,Thung lũng các vị vua là ở quốc gia nào?,Ai Cập,Ấn Độ,Thái Lan ,Trung Quốc
510,Vườn treo Babylon ở quốc gia nào?,Iraq,Ý,Tây Ban Nha,Ấn Độ
511,Đền Artemis ở Thổ Nhĩ Kỳ được xây dựng bằng gì?,Đá cẩm thạch,Đá vôi,Đá ong,Bê tông
512,Petra thành phố cổ nổi tiếng với những cấu trúc bằng đá ở nước nào?,Jordan,Ý,Mỹ ,Anh
513,Machu Picchu một trong những tàn tích của nên văn minh Inca ở đâu?,Peru,Úc,Ai Cập ,Trung Quốc
