id,Questions,A,B,C ,D
236,Ném lao thu?c vào b? môn th? thao nào?,Ði?n kinh,Th? d?c d?ng c?,E-Sport,Du?i nu?c
237,M?t t? tr?ng tài trong bóng dá có bao nhiêu ngu?i?,3,6,8,10
238,Tr?ng tài bóng dá có m?y lo?i th??,2,4,6,8
239,Qu? c?u mây có m?y m?u?,4,15,35,40
240, Ðâu là m?t nhân v?t di?p viên hu c?u ngu?i Anh?,James Bond 007,James Bond 008,James Bond 009,James Bond 006
241,Lãnh d?o t?i cao Triêu Tiên nam 2016 là ai?,Kim Jong Un,T?p C?n Bình,Black Obama,Putin
242,V? vua n?i ti?ng tàn b?o T?n Th?y Hoàng là ngu?i nu?c nào?,Trung Qu?c ,Nh?t B?n,Hàn Qu?c ,Malaysia
243,Di?n viên Alan Rickman trong phim Harry Potter là ngu?i nu?c nào?,Anh,Nh?t B?n,Hàn Qu?c ,Trung Qu?c
244,Giám d?c di?u hành Facebook Mark Zuckerberg là t? phú trong linh v?c gì?,Công ngh?,Tài chính,Kinh t?,Th?i trang
245,T? phú Bill Gates là ngu?i nu?c nào?,M?,Nh?t B?n,Hàn Qu?c ,Vi?t Nam
246,Chàng di?n viên n?i ti?ng Lee Min Ho là ngu?i nu?c nào?,Hàn Qu?c,Trung Qu?c,Vi?t Nam,M?
247,Hoàng Xuân Vinh giành HCV Olympic 2016 ? b? môn gì?,B?n súng,Boi l?i,Th? d?c d?ng c?,Bóng ném
248,Ca si Son Tùng là ngu?i d?n t? dâu ? Vi?t Nam?,Thái Bình,Hà N?i ,Lào Cai,Yên Bái
249,Di?n viên Hollywood Will Smith là ngu?i nu?c nào?,M?,Thái Lan,Trung Qu?c,Lào
250,Nam di?n viên Johnny Depp c?a phim Cu?p bi?n Caribe là ngu?i nu?c nào?,M?,Trung Qu?c,Vi?t Nam,Thái Lan
251,Ca si M? Tâm quê ? dâu?,Ðà N?ng,Ngh? An,Hà N?i ,Thanh Hóa
252,Ðâu là m?t d?a di?m du l?ch n?i ti?ng ? Vi?t Nam?,V?nh h? long,Trung tâm thuong m?i,Bi?n dông,Sân v?n d?ng
253,Nh?t B?n n?i ti?ng v?i lo?i hoa nào?,Hoa Anh dào,Hoa d?i,Hoa cúc,Hoa mo
254,Nh?ng món d? du?c mua khi di du l?ch d? luu l?i k? ni?m g?i là?,Ð? luu ni?m,Quà,Nh?t ký,Hàng hóa
255,Nói d?n hu?ng d?n viên là nói d?n linh v?c nào?,Du l?ch ,Th? thao,Van hóa,Chính tr?
256,T? ch?c Du l?ch Th? gi?i -World Tourist Organization là m?t t? ch?c thu?c?,WTO,WHO,UNICEF,OPEC
257,Ngành công nghi?p không khói là ngành gì?,Du l?ch ,Công nghi?p,Ch? t?o ,Xây d?ng
258,Du l?ch nu?c ngoài c?n gì?,Visa,Áo,Ba lô,Mu
259, Ð?o Hawaii n?m ? qu?c gia nào?,M?,Vi?t Nam,Trung Qu?c,Lào
260,Ðâu không ph?i là d?a di?m du l?ch ? Vi?t Nam?,V?n lý tru?ng thành,Sapa,Tràng An,V?nh H? Long
261,Ðâu không ph?i là hình th?c du l?ch m?o hi?m?,Ng?m phong c?nh,Nh?y dù,Leo núi,L?n bi?n
262,Ng?n núi là di?m du l?ch n?i ti?ng ? Nh?t B?n?,Phú Si,Phan Xi Phang,Himalaya,Everest
263,Leo thác nu?c là hình th?c du l?ch gì?,Du l?ch m?o hi?m,Du l?ch ng?m c?nh,Du l?ch h?i th?o,Du l?ch b?i
264,Ðâu là noi chôn c?t Pharaon ? Ai C?p?,Kim T? Tháp,Tháp chàm,Tháp dôi Luân Ðôn,Tháp nghiêng Pisa
265,Thành ph? c?a các kênh dào Venice ? nu?c nào?,Ý,Trung Qu?c,Thái Lan,Nh?t B?n
266,B?c tu?ng Chúa C?u th? ? nu?c nào?,Brazil,Vi?t Nam,Lào,Campuchia
267,Ðâu không ph?i là k? quan th? gi?i?,Sông H?ng,V?nh H? Long,Kim T? Tháp,V?n Lý Tru?ng Thành
268,K? quan d?u tru?ng La Mã ? dâu?,Italia,Vi?t Nam,Lào,Campuchia
269,Las Vegas là thành ph? n?m ? qu?c gia nào?,M?,Trung Qu?c,Nh?t B?n,Hàn Qu?c
270,Ngôn ng? chính du?c s? d?ng ? Lào là?,Tiêng Lào,Ti?ng Thái,Ti?ng Trung Qu?c,Ti?ng Anh
271,Paris du?c coi là thành ph? gì?,Kinh dô ánh sáng,Kinh dô di?n ?nh,Kinh dô du l?ch,Kinh dô ?m th?c
272,Thánh du?ng Vantican n?m ? dâu?,Ý,Trung Qu?c,Vi?t Nam, Lào
273,Ngu?i di du l?ch g?i là gì?,Du khách,Du ngo?n,Du hành,Vi hành
274,Ð?t nu?c du?c m?nh danh là x? s? bò tót?,Tây Ban Nha,Trung Qu?c,M? ,Anh
275,Tháp d?ng h? Big Ben du?c d?t t?i thành ph? nào?,Lôn Ðôn,Hà N?i,Viêng Chan,Bang Kok
276,Nhà hát Opera du?c xây d?ng ? thành ph? nào ? Australia?,Sydney,Brisbane,Adelaide,Newcastle
277,Loài v?t nào du?c coi là bi?u tu?ng c?a nu?c Anh?,Chó Bulldog,Gà,Mèo,Bò
278,Bi?u tu?ng c?a qu?c d?o Singapore?,Su t? bi?n Merlion,Mèo,Chó,Cá
279,Ngu?i hu?ng d?n du khách trong 1 chuy?n du l?ch g?i là gì?,Hu?ng d?n viên,Giáo viên,H?c sinh,Sinh viên
280,"Nam 2016, cây câu kính cao nh?t th? gi?i ? dâu?",Trung Qu?c ,Vi?t Nam,Lào,Thái Lan
281,Kênh dào Suez n?m trên qu?c gia nào?,Ai C?p,Vi?t Nam,Trung Qu?c,Thái Lan
282,Ðâu là m?t trong nh?ng k? quan c?a th? gi?i ? Vi?t Nam?,V?nh H? Long,Sapa,Tháp Rùa,Lang H? Chí Minh
283,Ð?t nu?c du?c m?nh danh là x? s? Kim chi?,Hàn Qu?c,Anh,Vi?t Nam,Thái Lan
284,Ð?t nu?c du?c coi là x? s? Chùa vàng?,Thái Lan,Trung Qu?c,Vi?t Nam,M?
285,V? d?c trung c?a ?m th?c Thái Lan?,Cay,Chua,Ng?t,M?n
286,Hoa xác ch?t có mùi gì?,Hôi th?i,Thom,Không mùi,Nu?c x? v?i
287,Ðâu là m?t loài cá s?ng ? bi?n?,Cá voi,Cá chép,Cá trôi,Cá mè
288,Con v?t nào sau dây không thu?c l?p bò sát?,Gà,Cá s?u,Th?n l?n,R?n
289,Ðâu không ph?i là m?t loài linh tru?ng?,Báo,Kh? d?t,Ðu?i uoi,Tinh tinh
290,Vo?c mui h?ch là loài linh tru?ng d?c h?u ? dâu?,Châu Á,Châu Âu ,Châu Nam M?,Châu Phi
291,Ði?u gì là sai khi nói v? cá voi xanh?,Ð? tr?ng,Ð? con,Có vú,Loài cá l?n nh?t
292,Ðâu là d?ng v?t trên c?n cao nh?t?,Huou cao c?,H? ,Tê giác,Voi
293,Ðâu là loài bò sát l?n nh?t th? gi?i?,Cá s?u nu?c m?n,Th?n l?n,R?n,Rùa
294,Ðâu không ph?i là lo?i v?t an th?t?,Huou cao c?,Tran,H?,Cá s?u
295,Loài nào di ch?m nh?t so v?i nh?ng lo?i sau dây?,Rùa,Nhím,Sóc ,H?
296,Ngu?i ta hay có câu Nhanh nhu….?,Sóc,Rùa,H?,Gà
297,Monkey Orchid là 1 lo?i hoa lan có hình d?ng gi?ng m?t con gì?,Con kh?,Con chó,Còn mèo,Con gà
298,Loài cây nào sau dây có m?u s?c s?c s? nh?t?,B?ch dàn c?u v?ng,Cây s?i,Cây bao báp,Cây xuong r?ng
299,Loài r?n nào sau dây không có n?c d?c gi?t ch?t ngu?i?,Tran,R?n h? mang,R?n duôi chuông,R?n l?c s?ng
300,Loài v?t nào sau dây chua b? tuy?t ch?ng?,Vo?c mui h?ch,H? rang ki?m,Voi ma mút,Kh?ng long
301,Loài nào sau dây d? tr?ng khi sinh s?n?,Cá s?u,Cá voi ,Kh?,Ng?a
302,Loài nào sau dây là loài an c??,Linh duong,H? ,Báo,Cá s?u
303,Loài hoa nào sau dây không có lá?,Hoa lan ma,Hoa h?ng,Hoa cúc,Hoa hu?
304,Loài cá s?u nào có mi?ng h?p?,Cá s?u ?n Ð?,Cá s?u sông Nile,Cá s?u nu?c m?n,Cá s?u Caiman den
305,Loài d?ng v?t nào sau dây s? l?t xác?,R?n,Dê,Cá,Bò
306,Ði?u nào sau dây là dúng khi nói v? loài r?n?,Loài không chân,R?n d?u d?c,An th?c v?t,S?ng du?i nu?c
307,Hi?u ?ng làm cho không khí trái d?t nóng lên g?i là?,Hi?u ?ng nhà kính,Hi?u ?ng nhà xây,Hi?u ?ng nhà vu?n,Hi?u ?ng nhà lá
308,S? thay d?i tr?ng thái c?a h? th?ng khí h?u g?i là?,Bi?n d?i khí h?u,Bi?n d?i môi tru?ng,Bi?n d?i ngu?n nu?c,Bi?n d?i d?t dái
309,Hi?n tu?ng suy thoái d?t dai ? vùng khô c?n g?i là?,Sa m?c hóa,El-Nino,Ðô th? hóa,Công nghi?p hóa
310,Sahara là sa m?c l?n th? m?y th? gi?i?,Th? nh?t,Th? hai,Th? ba,Th? tu
311,Nang lu?ng nào sau dây gây ra ô nhi?m môi tru?ng?,Than dá,Nu?c ,Gió,M?t tr?i
312,Vi?c làm nào nh?m b?o v? môi tru?ng?,Tr?ng cây,Ch?t  cây,Ð?t r?ng,V?t rác b?a bãi
313,Thiên tai nào sau dây có s?c tàn phá kh?ng khi?p nh?t?,Sóng th?n,Mua rào,Mua phùn,Mua dá
314,Tr?ng cây xanh mang l?i l?i ích gì cho môi tru?ng?  ,Gi? d?t,Làm c?i,Nóng n?c,Không có l?i ích
315,Bi?n có d? m?n cao nh?t trên th? gi?i?,Bi?n ch?t,Bi?n den ,Bi?n d?,Bi?n Baltic
316,Bi?n có d? m?n nh?t nh?t th? gi?i?,Bi?n Baltic,Bi?n ch?t,Bi?n d?,Bi?n den
317,Ki?u khí h?u ? Vi?t Nam là ki?u khí h?u…?,Nhi?t d?i gió mùa,Ôn d?i,C?n xích d?o,C?n nhi?t d?i
318,Nh?ng khí có kh? nang gây nên Hi?u ?ng nhà kính g?i là…?,Khí nhà kính,Khí CO2,Khí O2,Khí H2
319,"Bi?n d?i khí h?u là v?n d? chung, c?p bách c?a…?",Toàn c?u,M?,Pháp,Úc
320,Loài t?o d? n? hoa r? gây ra hi?n tu?ng?,Th?y tri?u d?,Th?y tri?u xanh,Th?y tri?u lên,Th?y chi?u xu?ng
321,Hoàn thành câu thành ng?: T?c d?t t?c ...?,Vàng,B?c,Ð?ng,S?t
322,Bà Trung quê ??,Châu Phong,Châu Ð?c,Châu Thành,Châu Long
323,Vi?t nam n?m trong vùng bi?n nào sau dây?,Bi?n dông,Bi?n d?,Ð?a trung h?i,Caribe
324,Thành C? Loa g?n li?n v?i nhân v?t nào sau dây?,An Duong Vuong,Quang Trung,Ngô Quy?n,Lý Thu?ng Ki?t
325,Loài Voi ? Vi?t Nam ch? y?u s?ng ? vùng nào sau dây?,Tây Nguyên,B?c B?,Nam B?,Ð?o Phú qu?c
326,Tr?ng Ðông son du?c du?c làm b?ng gì?,Ð?ng,Nhôm,G?,Ðá
327,V? vua cu?i cùng c?a tri?u d?i phong ki?n Vi?t Nam là ai?,B?o Ð?i,Lý Công U?n,Vua Hùng,An Duong Vuong
328,Trong l?ch s? Vi?t Nam chúng ta dã bao nhiêu l?n dánh du?i gi?c Nguyên Mông?,3 l?n,Không l?n nào,5 l?n,7 l?n
329,Bác H? dã ra di tìm du?ng c?u nu?c t? b?n c?ng nào sau dây?,Nhà R?ng,H?i Phòng,Cam Ranh,Cái Lân
330,"Du?i th?i th?c dân Pháp 3 nu?c Ðông duong bao g?m Lào, Campuchia và?",Vi?t Nam,Trung Qu?c,Indonesia,Phillipin
331,Vi tuy?n 17 phân chia hai mi?n nam b?c Vi?t Nam trong chi?n tranh ch?y qua con sông nào?,B?n H?i,Sông H?ng,Sông Sài gòn,Sông H?u
332,"Ði gi?a hai hàng lính, v?n ung dung m?m cu?i là câu tho nói v? ai?",Võ Th? Sáu,Tr?n Qu?c To?n,Bùi Th? Xuân,La Van C?u
333,"Sau khi d?i dô t? Hoa Lu v? Ð?i La, Lý Công U?n dã d?i tên Ð?i La thành?",Thang Long,Thang Thiên,Thang Tr?m,Thang Ti?n
334,Máy bay ném bom B52 Hoa K? dùng trong chi?n tranh Vi?t Nam du?c m?nh danh là?,Pháo dài bay,Ngu?i nhái,Ngu?i doi,Ngu?i kh?ng l?
335,"Ð?i A1, cánh d?ng Mu?ng Thanh g?n li?n v?i tr?n chi?n nào sau dây?",Ði?n Biên Ph?,Tây Nguyên,Sông Sài gòn,Qu?ng Tr?
336,Hình ?nh chi?n s? c?m t? quân Hà N?i thu?ng g?n v?i hình ?nh nào sau dây?,Bom ba càng,Máy bay B52,Xu?ng máy,Xe tang
337,"Các vua Hùng dã có công d?ng nu?c, bác cháu ta ph?i cùng nhau gi? l?y nu?c là câu nói c?a ai?",Bác H?,Nguy?n Trãi,Ngô Quy?n,Lý Thu?ng Ki?t
338,"Ngày 2 tháng 9 nam 1945 t?i qu?ng tru?ng Ba Ðình Hà N?i, bác H? dã d?c?",Tuyên ngôn d?c l?p,Hi?n pháp,Thu chúc m?ng,Tin th?ng tr?n
339,Hoàng d? áo v?i là tên g?i dành cho nhân v?t nào sau dây?,Quang Trung,Nguy?n Du,Phan B?i Châu,Nguy?n Ðình Chi?u
340,Theo truy?n thuy?t An Duong Vuong dã s? d?ng vu khí gì d? dánh b?i quân gi?c,N? Th?n,Súng th?n công,Thuy?n chi?n,S?m sét
341,Tháp Chàm là công trình ki?n trúc c?a ngu?i dân t?c nào sau dây?,Cham pa,Kinh,Thái,Hoa
342,Nho giáo du?c du nh?p vào Vi?t Nam t??,Trung Hoa,Campuchia,Lào,Indonesia
343,Ngu?i t?i c? còn du?c g?i là?,Vu?n ngu?i,Ngu?i tinh khôn,Ngu?i khéo léo,Ngu?i d?ng th?ng
344,"? Ai c?p c?, vua du?c g?i là gì?",Pharaon,King,Queen,Prince
345,Kim t? tháp là các công trình n?i ti?ng ? qu?c gia nào sau dây?,Ai C?p,Vi?t Nam,Lào,Trung Qu?c
346,Thành Babilon là thành t?u van hóa c?a vùng d?t nào sau dây?,Lu?ng Hà,Sông H?ng,Hy L?p,Hoa K?
347,Các Vua Ai c?p xây các kim t? tháp d? làm gì?,Lang m?,B?o tàng,Ch?,Noi h?i h?p
348,L?ch c?a ngu?i Hi l?p và La mã còn du?c chúng ta bi?t d?n v?i tên là gì?,Duong l?ch,Âm l?ch,L?ch h?i giáo,Âm duong l?ch
349,V?n lý tru?ng thành là công trình n?m ? dâu?,Trung Qu?c,Nh?t B?n,Vi?t Nam,Thái Lan
350,Tam giác có 3 c?nh b?ng nhau là?,Tam giác d?u,Tam giác vuông,Tam giác tù,Tam giác vuông cân
351,Hình ch? nh?t có 4 góc vuông là hình gì?,Hình ch? nh?t,Hình vuông,Hình tam giác,Hình thoi
352,Nhân chi?u dài v?i chi?u r?ng s? cho ra di?n tích c?a hình?,Ch? nh?t,Tam giác vuông,Tam giác cân,Hình tròn
353,Tam giác cân là tam giác có?,Hai c?nh b?ng nhau,M?t góc vuông,M?t góc nh?n,M?t góc tù
354,Tam giác d?u là tam giác có?,3 góc b?ng nhau,3 c?nh khác nhau,1 góc  60 d?,1 góc vuông
355,Tam giác d?u là tam giác có?,3 c?nh b?ng nhau,3 góc nh?n,1 góc vuông,1 góc 60 d?
356,S? Pi dùng d? tính chu vi và di?n tích c?a hình nào sau dây?,Hình tròn,Hình vuông,Hình thang,Hình ch? nh?t
357,Compa là d?ng c? thu?ng dùng d? v? hình nào sau dây?,Hình tròn,Ðu?ng th?ng,Tam giác,Hình thoi
358,S? chia h?t cho hai là s? có t?n cùng?,Chia h?t cho 4,Chia h?t cho 3,Chia h?t cho 5,Chia h?t cho 7
359,S? ch?n là s??,Chia h?t cho 2,Chia h?t cho 3,S? t? nhiên,S? h?u t?
360,S? nguyên t? là s? ch? chia h?t cho 1 và chia h?t cho?,Chính nó,Cho 2,Cho 0,Cho 10
361,Khi nhân m?t s? v?i s? này luôn nh?n du?c k?t qu? b?ng 0?,S? 0,S? âm,S? nguyên t?,S? ph?c
362,T? 1 d?n 10 có bao nhiêu s? ch?n?,5,4,6,Không có
363,Ph?n n?m phía trên c?a phân s? du?c g?i là?,T? s?,M?u s?,Th?a s?,H?n s?
364,Ph?n n?m phía du?i c?a phân s? du?c g?i là?,M?u s?,T? s?,Th?a s?,Tích s?
365,Phép quy d?ng du?c dùng d? tính toán v?i lo?i s? nào sau dây?,Phân s?,S? ph?c,S? t? nhiên,S? ?o
366,Th? t? th?c hi?n phép toàn nào sau dây là dúng?,Trong ngo?c tru?c,C?ng tru?c,Tr? tru?c,Ph?i sang trái
367,Tích c?a hai s? âm là?,S? duong,S? 0,S? 1,S? âm
368,Ch? V trong ch? s? La Mã là s? m?y?,5,10,1,100
369,Ch? X trong ch? s? La Mã là s? m?y?,10,5,1,50
370,Ch? XV trong ch? s? La Mã là s? bao nhiêu?,15,25,7,6
371,Phép chia h?t là phép chia?,Không du,Có du,S? âm,S? mu
372,T?ng 3 góc trong c?a m?t tam giác luôn b?ng?,180 d?,90 d?,360 d?,Không c? d?nh
373,Nu?c thông thu?ng sôi ? nhi?t d? nào sau dây?,100 d? C,1000 d? C,10 d? C,0 d? C
374,Nu?c thông thu?ng dóng bang ? nhi?t d? nào sau dây?,0 d? C,100 d? C,1000 d? C,30 d? C
375,Thân nhi?t c?a con ngu?i thông thu?ng n?m x?p x? ? nhi?t d? nào sau dây?,37 d? C,0 d? C,20 d? C,50 d? C
376,Ch?t l?ng l?nh di khi?,Bay hoi,Phoi n?ng,Cho vào bình,Khu?y d?u
377,Khi lên cao áp su?t thay d?i nhu th? nào?,Gi?m,Tang,Không d?i,Tang r?i gi?m
378,A. M?t tr?i quay quanh trái d?t. B. M?t trang quay quanh trái d?t.?,A sai B dúng,A dúng B sai,A sai B sai,A dúng B dúng
379,Ðòn b?y du?c l?i v? l?c và thi?t v?…?,Ðu?ng di,Công,S?c,Hi?u su?t
380,Hi?n tu?ng Th?y tri?u là do l?c h?p d?n c?a…?,M?t trang,M?t tr?i,L?c d?a,Sao ch?i
381,Lo?i dèn màu gì sau dây trên xe ô tô thu?ng du?c s? d?ng khi di trong suong mù là?,Ðèn vàng,Ðèn xanh,Ðèn d?,Ðèn sáng tr?ng
382,"Trong các lo?i dèn sau dây, lo?i nào ít ti?t ki?m di?n nang nh?t?",Ðèn s?i d?t,Ðèn LED,Ðèn hu?nh quang,Ðèn d?u
383,V?t li?u không cho dòng di?n ch?y qua g?i là gì?,V?t cách di?n,V?t d?n di?n,S?,Nh?a
384,Tr?ng l?c là l?c hút c?a…?,Trái d?t,Nam châm,T? tru?ng,Dòng di?n
385,S? chuy?n hóa t? th? r?n sang th? l?ng du?c g?i là?,S? nóng ch?y,S? bay hoi,S? ngung t?,S? thang hoa
386,S? ngung t? là s? chuy?n hóa t? th? hoi sang th?….?,L?ng,Khí,R?n,H?n h?p
387,S? nào sau dây không có s? ngh?ch d?o?,S? 0,S? 1,S? nguyên,S? t? nhiên
388,V?t th? nào sau dây du?c g?i là v?t th? nhân t?o?,Chai th?y tinh,Khí quy?n,M?t tr?i,Ð?i duong
389,H20 là công th?c hóa h?c c?a...?,Nu?c,Mu?i,Axit,Ðu?ng
390,O3 là công th?c hóa h?c c?a...?,Ô zôn,Mu?i an,Axit,D?m
391,Loài chim l?n nh?t du?c bi?t d?n hi?n nay là…?,Ðà di?u,Công,Phu?ng,Ð?i Bàng
392,"Ki?n, ong và m?i là loài nào sau dây?",Côn trùng,Ru?t khoang,Bò sát,Có vú
393,Con ngu?i thu?c nhóm d?ng v?t nào sau dây?,Ð?ng v?t có vú,Bò sát,Cá,Chim
394,Th?i gian mang thai c?a con ngu?i là kho?ng bao lâu?,9 tháng 10 ngày,12 tháng,6 tháng,2 nam
395,Loài v?t nào sau dây không cùng nhóm v?i nh?ng loài còn l?i?,Cá s?u,Cá chép,Cá chim,Cá rô phi
396,Khi tang nhi?t d? thì ch?t r?n s?….?,N? ra,Co vào,Không thay d?i,Phát sáng
397,Loài d?ng v?t trên c?n nào có kh?i lu?ng l?n nh?t?,Voi châu phi,Cá s?u,H?,Tê giác
398,Nguyên t? nào sau dây trong ti?ng Hy l?p có nghia là Nu?c b?c?,Th?y ngân,Vàng,Ð?ng,S?t
399,V?t th? nào sau dây di chuy?n v?i v?n t?c l?n nh?t?,Ánh sáng,Tên l?a,Viên d?n,Gió
400,Phanh xe có th? giúp xe d?ng l?i là do?,L?c ma sát,L?c quán tính,Tr?ng l?c,Ph?n l?c
401,Con ngu?i thông thu?ng có d? bao nhiêu chi?c rang?,32,10,16,100
402,Lo?i th?c an nào sau dây d? gây t?n h?i d?n tim m?ch?,M? d?ng v?t,Rau xanh,C? qu?,G?o
403,Dãy ch?t nào sau dây d?u là kim lo?i?,"Vàng, b?c, d?ng","Vàng, b?c, Ô xi","Nhôm, Ð?ng, Hydro","S?t, Magie, k?m"
404,Loài d?ng v?t nào sau dây có tu?i th? trung bình l?n nh?t?,Rùa bi?n,Chu?t,Ki?n,Mèo
405,Nó du?c coi là v? tinh t? nhiên c?a trái d?t?,M?t trang,M?t tr?i,Sao h?a,Sao th?
406,Khi xe phanh d?t ng?t ngu?i b? nhào v? phía tru?c là do tác d?ng c?a?,Quán tính,Ma sát lan,Ma sát ngh?,L?c dàn h?i
407,Ðèn Neon thông thu?ng không có b? ph?n nào sau dây?,Dây tóc bóng dèn,V? dèn,Dòng di?n,Khí bên trong
408,Chuy?n d?ng có gia t?c b?ng 0 du?c g?i là?,Chuy?n d?ng d?u,Chuy?n d?ng quay,Chuy?n d?ng tròn,Roi t? do
409,Ðu?ng tan trong nu?c nhanh và nhi?u hon khi?,Nhi?t d? tang,Nhi?t d? gi?m,Ánh sáng y?u,Khi b?t dèn
410,Vi khu?n sinh s?n b?ng hình th?c nào sau dây?,Phân dôi,Ð? tr?ng,Sinh con,Phân ba
411,Trong m?t phân s? m?u s? ph?i th?a mãn di?u ki?n nào sau dây?,Khác 0,Khác 1,Khác t? s?,L?n hon t?
412,Trong m?t phân s? t? s? ph?i th?a mãn di?u ki?n nào sau dây?,Không c?n di?u ki?n,Khác 0,Khác 1,Khác m?u
413,Phân s? b?ng 1 khi có t? s? b?ng...?,M?u s?,B?ng 1,B?ng 0,Nh? hon 0
414,1 y?n b?ng bao nhiêu kilogram?,10,100,20,12
415,1 t? b?ng bao nhiêu kilogram?,100,10,20,12
416,Ðon v? nào sau dây dùng d? do t?n s??,Hz,Km,Cc,W
417,Môi tru?ng nào sau dây truy?n âm t?t nh?t?,Ch?t r?n,Ch?t l?ng,Chân không,Ch?t khí
418,Thi?t b? nào sau dây du?c g?i là ngu?n di?n?,?c quy,Ðèn di?n,Qu?t máy,Ði?u hòa
419,"Trong môi tru?ng trong su?t d?ng ch?t, anh sáng truy?n theo du?ng?",Th?ng,Cong,G?p khúc,Zig zag
420,"M?i ngu?i m?i v?, mu?i phân v?n mu?i là câu tho miêu t? v? d?p c?a ai?",Ch? em Thúy Ki?u,Nguy?t Nga,Ch? H?ng,Công chúa Ng?c Hân
421,Ði?n t? còn thi?u: Anh em nhu th?……?,Tay chân,Bàn tay,Bàn chân,Ngón tay
422,Ði?n t? còn thi?u vào câu thành ng?: Ác gi? ác……?,Báo,H?,G?u,C?u
423,Ði?n t? còn thi?u vào câu thành ng?: Ba c?c ba……?,Ð?ng,Hào,Quan,Xu
424,Ði?n t? còn thi?u vào câu thành ng?: Chim xa cá……?,L?n,L?i,H?p,N?i
425,"Ði?n t? còn thi?u vào câu thành ng?: Xanh nhu lá, b?c nhu……?",Vôi,Ðá,Vàng,Ð?t
426,Ði?n t? còn thi?u vào câu ca dao sau: Cu?i ngu?i ch? v?i cu?i lâu. Cu?i ngu?i hôm tru?c hôm sau…..,Ngu?i cu?i,Ngu?i khóc,Ngu?i nói,Ngu?i chê
427,Ði?n t? còn thi?u vào câu ca dao sau: Râu tôm n?u v?i ru?t b?u. Ch?ng chan v? húp g?t d?u…..,Khen ngon,Khen du?c,Nhìn nhau,Lu?m nhau
428,Ði?n t? còn thi?u vào câu ca dao sau: Còn duyên k? dón ngu?i dua. H?t duyên di s?m v? trua …..,M?c lòng,M?c ngu?i,K? ngu?i,Tùy ngu?i
429,"Ði?n t? còn thi?u vào câu ca dao sau: Con oi nh? l?y câu này. Cu?p dêm là gi?c, cu?p ngày …..",Là quan,Là ma,Là ngu?i,Là tr?m
430,Ronaldo béo ngu?i nu?c nào?,Brazil,Tây Ban Nha,Anh,Pháp
431,M?t tr?n d?u bóng dá có bao nhiêu phút?,90 phút,110 phút,80 phút,45 phút
432,Tr?ng tài môn bóng dá thu?ng hay th?i gì?,Th?i còi,Th?i kèn,Th?i sáo,Th?i tiêu
433,Tr?ng tài biên môn bóng dá c?m cái gì?,C?,Qu?t,G?y,Dao
434,Ti?n d?o Messi ngu?i nu?c nào?,Argentina,Anh,Pháp ,Ý
435,M?t d?i bóng chuy?n bãi bi?n có bao nhiêu ngu?i?,2,4,6,8
436,Qu? bóng tennis có hình gì?,Tròn,Vuông,Hình ch? nh?t,Hình b?u d?c
437,Trong môn bóng b?u d?c thì qu? bóng có hình gì?,B?u d?c,Tròn,Hình ch? nh?t,Vuông
438,Trong môn bóng bàn có t?i da m?y ngu?i choi?,4,2,6,8
439,HLV Jose Mourinho là hu?n luy?n viên môn gì?,Bóng dá,Bóng bàn,Bóng r?,Tennis
440,Vu Ti?n Minh c?a Vi?t Nam n?i ti?ng v?i môn th? thao nào?,C?u lông,Bóng bàn,Bóng dá,C?u mây
441,Tom là tên g?i c?a con gì trong phim ho?t hình Tom và Jerry?,Mèo,Chu?t,Chó,G?u
442,Tôn Ng? Không là hóa thân c?a con gì?,Kh?,Mèo,Chu?t ,Chó
443,Tru Bát Gi?i trong phim Tây Du Ký có hình d?ng gi?ng con gì?,L?n,Bò,Gà,Mèo
444,Thánh Gióng cu?i con gì di dánh gi?c?,Ng?a,Trâu,L?a,Bò
445,Món an nào sau dây không ph?i d? chay?,Th?t L?n,Rau mu?ng,Khoai lang,Ngô
446,Ngày m?ng 1 tháng 6 là ngày gì?,T?t thi?u nhi,Ngày lao d?ng,Ngày th?y thu?c,T?t c? truy?n
447, Trên bàn phím máy tính thu?ng không có phím s? nào sau dây?,11,9,7,0
448,M?t nam có bao nhiêu tháng?,12,11,10,13
449,T?t c? truy?n c?a Vi?t Nam ngu?i dân hay an bánh gì?,Bánh chung,Bánh quy,Bánh rán,Bánh giò
450,Trong truy?n dân gian Vi?t Nam thì con voi s? nh?t con gì?,Ki?n,Kh?,Chó,G?u
451,Con nào sau dây du?c g?i là chúa son lâm?,Su T?,Báo,Ðu?i uoi,G?u
452,Con mèo thu?ng b?t con gì?,Chu?t,Chó,Ru?i,Gà
453,"Trong nh?ng con v?t sau, con nào s?ng ? du?i d?t?",Con giun,Con cá,Con chim,Con gà
454,Loài chim nào không bi?t bay?,Chim cánh c?t,Chim d?i bàng,Chim cu gáy,Chim cú mèo
455,Cây nào sau dây không có gai?,Cây chu?i,Cây hoa h?ng,Cây mây,Cây t?m xuân
456,Cây nào sau dây có qu? to nh?t?,Cây mít,Cây ?i,Cây kh?,Cây na
457,Cây nào sau dây là vu khí c?a Thánh Gióng khi ra tr?n?,Cây tre,Cây xoan,Cây dào,Cây m?n
458,Áo c?a bác si m?c trong gi? làm vi?c có m?u gì?,Tr?ng,Ð?,H?ng,Nâu
